intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""25""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""75""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""90""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""350""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""400""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""250""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""500""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""800""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""3000""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""""","=""2.71e+07""",C,"=""0.000000000""","=""0.76657490""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""",,"=""T1220,T1195n""","=""""",
"=""1200""","=""2.33e+08""",C,"=""0.000000000""","=""0.76656024""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(1D).4s""","=""2D""","=""5/2""",,"=""T1220,T1195n""","=""L298""",
"=""900""","=""2.39e+08""",C,"=""0.008040578""","=""0.76657490""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(1D).4s""","=""2D""","=""3/2""",,"=""T1220,T1195n""","=""L298""",
"=""3000""","=""1.74e+08""",C,"=""0.000000000""","=""0.68222616""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""",,"=""T1220""","=""L298""",
"=""10000""","=""4.19e+08""",C+,"=""0.000000000""","=""0.67639568""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""",,"=""T1220,T1195n""","=""L298""",
"=""5000""","=""3.23e+08""",C+,"=""0.008040578""","=""0.68222616""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""",,"=""T1220,T1195n""","=""L298""",
"=""12000""","=""7.5e+07""",C+,"=""0.008040578""","=""0.67639568""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""",,"=""T1220,T1195n""","=""L298""",
"=""2500""","=""2.9e+05""",D,"=""0.000000000""","=""0.66364880""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""",,"=""T1195n""","=""L298""",
"=""20000""","=""1.1e+07""",D,"=""0.000000000""","=""0.66056444""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""",,"=""T1195n""","=""L298""",
"=""25000""","=""2.3e+05""",D,"=""0.000000000""","=""0.65573285""","=""3s2.3p5""","=""2P*""","=""3/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""",,"=""T1220""","=""L298""",
"=""20000""","=""1.7e+06""",D,"=""0.008040578""","=""0.66364880""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""",,"=""T1220""","=""L298""",
"=""12000""","=""1.5e+06""",D,"=""0.008040578""","=""0.66056444""","=""3s2.3p5""","=""2P*""","=""1/2""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""",,"=""T1195n""","=""L298""",
intens,Aki(s^-1),Acc,Ei(Ry),Ek(Ry),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""20""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""20""","=""2.0e+05""",D,"=""0.65573285""","=""0.87767164""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""T694""","=""L298""",
"=""""","=""3.8e+05""",D,"=""0.66056444""","=""0.88023017""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""",,"=""T694""","=""""",
"=""65""","=""4.1e+05""",D+,"=""0.65573285""","=""0.87214211""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""50""","=""5.5e+05""",D+,"=""0.65573285""","=""0.87128391""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""60""","=""1.7e+05""",D+,"=""0.65573285""","=""0.86935543""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""",,"=""T1277,T694""","=""L298""",
"=""""","=""1.6e+05""",D,"=""0.65573285""","=""0.86856279""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""T694""","=""""",
"=""""","=""1.1e+06""",D+,"=""0.66056444""","=""0.87128391""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""",,"=""T1277,T694""","=""""",
"=""""","=""2.6e+05""",D,"=""0.66056444""","=""0.87057828""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""",,"=""T694""","=""""",
"=""100""","=""6.8e+05""",D,"=""0.66056444""","=""0.86935543""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""",,"=""T8043""","=""L298""",
"=""100""","=""7.0e+05""",D+,"=""0.66364880""","=""0.87214211""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""""","=""1.5e+05""",D+,"=""0.65573285""","=""0.86412857""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""T1277,T694""","=""""",
"=""100""","=""1.4e+06""",D,"=""0.66056444""","=""0.86856279""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""T8043""","=""L298""",
"=""""","=""3.6e+05""",D+,"=""0.66364880""","=""0.87128391""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""",,"=""T1277,T694""","=""""",
"=""100""","=""1.4e+06""",D,"=""0.65573285""","=""0.8632642""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""7/2""",,"=""T8043""","=""L298""",
"=""90""","=""7.9e+05""",D+,"=""0.66364880""","=""0.87114937""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""1/2""",,"=""T1277,T694""","=""L298""",
"=""""","=""5.8e+05""",D+,"=""0.66364880""","=""0.87057828""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""",,"=""T1277,T694""","=""""",
"=""90""","=""7.4e+05""",D,"=""0.65573285""","=""0.86263883""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""100""","=""1.4e+06""",D,"=""0.65573285""","=""0.86098549""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""5/2""",,"=""T1277,T694""","=""L298""",
"=""""","=""2.3e+05""",D,"=""0.66364880""","=""0.86856279""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""T694""","=""""",
"=""""","=""4.4e+05""",D,"=""0.66056444""","=""0.86546388""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""1/2""",,"=""T694""","=""""",
"=""""","=""1.6e+06""",D,"=""0.67639568""","=""0.88023017""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""",,"=""T1277,T694""","=""""",
"=""90""","=""4.3e+05""",D+,"=""0.66056444""","=""0.86412857""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""T1277,T694""","=""L298""",
"=""""","=""4.8e+05""",D+,"=""0.67639568""","=""0.87924693""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""",,"=""T1277,T694""","=""""",
"=""100""","=""5.1e+06""",C,"=""0.67639568""","=""0.87767164""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""T8043""","=""L298""",
"=""""","=""5.1e+04""",D,"=""0.66056444""","=""0.86098549""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""5/2""",,"=""T694""","=""""",
"=""""","=""1.7e+05""",D,"=""0.66364880""","=""0.86263883""","=""3s2.3p4.(3P).4s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""3/2""",,"=""T1277,T694""","=""""",
"=""""","=""1.8e+05""",D,"=""0.66056444""","=""0.85945428""","=""3s2.3p4.(3P).4s""","=""4P""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T694""","=""""",
"=""80""","=""4.2e+06""",C,"=""0.68222616""","=""0.88023017""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""1/2""",,"=""T8043""","=""L298""",
"=""40""","=""4.5e+05""",D+,"=""0.68222616""","=""0.87924693""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2D*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""50""","=""4.9e+05""",D+,"=""0.67639568""","=""0.87214211""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""80""","=""1.2e+06""",C,"=""0.68222616""","=""0.87767164""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""2P*""","=""3/2""",,"=""T8043""","=""L298""",
"=""""","=""2.0e+05""",D+,"=""0.67639568""","=""0.87128391""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""",,"=""T1277,T694""","=""""",
"=""""","=""5.4e+05""",D+,"=""0.67639568""","=""0.87114937""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""1/2""",,"=""T1277,T694""","=""""",
"=""45""","=""1.1e+06""",D+,"=""0.67639568""","=""0.87057828""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2S*""","=""1/2""",,"=""T1277,T694""","=""L298""",
"=""40""","=""2.1e+05""",D+,"=""0.67639568""","=""0.86935543""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""5/2""",,"=""T1277,T694""","=""L298""",
"=""45""","=""4.2e+05""",D+,"=""0.67639568""","=""0.86856279""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4D*""","=""3/2""",,"=""T1277,T694""","=""L298""",
"=""""","=""1.9e+05""",D,"=""0.68222616""","=""0.87214211""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""3/2""",,"=""T694""","=""""",
"=""""","=""3.9e+05""",D,"=""0.67639568""","=""0.86546388""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""1/2""",,"=""T694""","=""""",
"=""""","=""1.9e+05""",D,"=""0.68222616""","=""0.87128391""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(3P).5p""","=""4S*""","=""3/2""",,"=""T694""","=""""",
"=""""","=""2.3e+05""",D+,"=""0.67639568""","=""0.86412857""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""2D*""","=""5/2""",,"=""T1277,T694""","=""""",
"=""""","=""3.5e+05""",D+,"=""0.67639568""","=""0.85945428""","=""3s2.3p4.(3P).4s""","=""2P""","=""3/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T1277,T694""","=""""",
"=""30""","=""8.5e+05""",D,"=""0.68222616""","=""0.86086357""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""1/2""",,"=""T694""","=""L298""",
"=""""","=""2.5e+05""",D,"=""0.68222616""","=""0.85945428""","=""3s2.3p4.(3P).4s""","=""2P""","=""1/2""","=""3s2.3p4.(1D).4p""","=""2P*""","=""3/2""",,"=""T694""","=""""",
"=""40""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""50bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""45""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""30""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""100bl""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""50""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""35""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""160""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""200""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""160""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""160""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""150""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""300""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""600""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""7500""","=""1.5e+07""",D,"=""0.65573285""","=""0.78127564""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""4S*""","=""3/2""",,"=""T8043""","=""L298""",
"=""5000""","=""4.7e+06""",D,"=""0.65573285""","=""0.77860871""","=""3s2.3p4.(3P).4s""","=""4P""","=""5/2""","=""3s2.3p4.(3P).4p""","=""2P*""","=""3/2""",,"=""T1277""","=""L298""",
"=""550""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""550""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
"=""700""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L298""",
